Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
19-JUN-2026,INE947Q01028,LAURUS LABS LIMITED,LAURUSLABS,58713729,30763200,18530504.7509465,37247537
19-JUN-2026,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,45183075,39823000,27667167.26872,15256753
19-JUN-2026,INE0J1Y01017,LIFE INSURA CORP OF INDIA,LICI,66412476,68111400,23099286.092838,39992566
19-JUN-2026,INE670K01029,LODHA DEVELOPERS LIMITED,LODHA,42165698,19624075,13371964.88990275,26685448
19-JUN-2026,INE018A01030,LARSEN & TOUBRO LTD.,LT,136099497,30954700,16929735.897502,112364786
19-JUN-2026,INE498L01015,L&T FINANCE LIMITED,LTF,127514625,98952750,51604621.5561225,69534272
19-JUN-2026,INE214T01019,LTM LIMITED,LTM,12564965,8159550,3689363.146249,8247353
19-JUN-2026,INE326A01037,LUPIN LIMITED,LUPIN,32222448,11384050,6325698.2422905,24285627
19-JUN-2026,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,120808308,31368000,19919933.292462,94847959
19-JUN-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,82205057,76989000,51383559.7312,26711244
19-JUN-2026,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16926669,5276400,3047578.78503425,13032756
19-JUN-2026,INE196A01026,MARICO LIMITED,MARICO,77572761,25596000,16747797.545924,56946325
19-JUN-2026,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,19673414,8052200,3997335.2150255,14692408
19-JUN-2026,INE027H01010,MAX HEALTHCARE INS LTD,MAXHEALTH,111298748,22844850,12259736.4162005,93474074
19-JUN-2026,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,11364224,9577350,4666374.71868575,6129638
19-JUN-2026,INE745G01043,MULTI COMMODITY EXCHANGE,MCX,38177113,35528300,12455754.9409845,23812502
19-JUN-2026,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,35051266,11453600,8939518.023368,24359184
19-JUN-2026,INE775A01035,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,588447385,253835100,162321715.081012,396703300
19-JUN-2026,INE338I01027,MOTILAL OSWAL FIN LTD,MOTILALOFS,29196111,10412125,5134537.254356,22601768
19-JUN-2026,INE356A01018,MPHASIS LIMITED,MPHASIS,19838356,8080050,5225930.26744275,13620507
19-JUN-2026,INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,16050690,10398025,4937887.60423225,10310267
19-JUN-2026,INE298J01013,NIPPON L I A M LTD,NAM-INDIA,26709548,11831875,6647815.08351875,18726255
19-JUN-2026,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,134225816,118663125,52963089.8467375,74551435
19-JUN-2026,INE663F01032,INFO EDGE (I) LTD,NAUKRI,60562281,23240550,16941720.63439575,40592446
19-JUN-2026,INE095N01031,NBCC (INDIA) LIMITED,NBCC,154894704,182578500,115307599.701855,31842369
19-JUN-2026,INE239A01024,NESTLE INDIA LIMITED,NESTLEIND,71801274,20223000,13251565.15453,54959645
19-JUN-2026,INE848E01016,NHPC LTD,NHPC,491233252,315797750,151794042.981485,314877546
19-JUN-2026,INE584A01023,NMDC LTD.,NMDC,517037525,572670000,371391925.3378025,119793723
19-JUN-2026,INE733E01010,NTPC LTD,NTPC,550512361,246987000,151450633.199175,371536109
19-JUN-2026,INE531F01023,NUVAMA WEALTH MANAGE LTD,NUVAMA,12490416,5028000,2281426.98651,9584468
19-JUN-2026,INE388Y01029,FSN E COMMERCE VENTURES,NYKAA,205669742,99806250,55805354.392,139580900
19-JUN-2026,INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,17614093,9601900,6918233.7737275,9815154
19-JUN-2026,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,3594855,2721800,1207574.226169,2207538
19-JUN-2026,INE274J01014,OIL INDIA LTD,OIL,105756420,44814000,19398701.482444,81069897
19-JUN-2026,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,711370982,254416500,106295433.55631,569506999
19-JUN-2026,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,955549,388485,292717.7693424,615053
19-JUN-2026,INE619A01035,PATANJALI FOODS LIMITED,PATANJALI,51786533,45671225,27820468.814749,21376737
19-JUN-2026,INE982J01020,ONE 97 COMMUNICATIONS LTD,PAYTM,95930888,35293000,19066485.23906875,72067858
19-JUN-2026,INE262H01021,PERSISTENT SYSTEMS LTD,PERSISTENT,16286398,8220500,4332478.22374525,11139599
19-JUN-2026,INE347G01014,PETRONET LNG LIMITED,PETRONET,112500013,54203200,33253153.46688,73621858
19-JUN-2026,INE134E01011,POWER FIN CORP LTD.,PFC,217835555,90637300,55675525.639978,151268251
19-JUN-2026,INE457L01029,PG ELECTROPLAST LTD,PGEL,24101986,35224100,17247976.0595625,5648910
19-JUN-2026,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,21502901,6222300,4182448.143991,16245307
19-JUN-2026,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31214205,11391500,7718343.07409,21935151
19-JUN-2026,INE603J01030,PI INDUSTRIES LTD,PIIND,8178275,6235775,3527767.63846175,4241593
19-JUN-2026,INE160A01022,PUNJAB NATIONAL BANK,PNB,515822637,517888000,321545151.5708,168486353
19-JUN-2026,INE572E01012,PNB HOUSING FIN LTD.,PNBHOUSING,28118603,14676350,10133528.7238445,16579144
19-JUN-2026,INE417T01026,PB FINTECH LIMITED,POLICYBZR,69300607,12821200,6793354.868539,59042221
19-JUN-2026,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,8693344,5043375,2279721.70512625,5978955
19-JUN-2026,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,660840864,134831600,84748440.615346,543050380
19-JUN-2026,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,1917916,1342700,513705.079524,1308315
